,SEED,TOTAL_STEPS,CL0,CR0,CL1,CR1,RADIAL_VARIANCE,RADIUS
1019,1,4001,-1.0,0.6,-0.2,0.4,0.06692618105079588,95.2195641777106
1020,1,4001,-1.0,0.6,-0.2,0.6,0.0396095421360408,77.80189161663745
1021,1,4001,-1.0,0.6,-0.2,0.8,0.020789698151890162,33.5142397573989
1022,1,4001,-1.0,0.6,-0.2,1.0,0.008716087258379183,18.699896266107004
1023,1,4001,-1.0,0.6,0.0,-1.0,0.783379186901209,244.30538404045572
1024,1,4001,-1.0,0.6,0.0,-0.8,0.8606786960634243,239.796463669595
1025,1,4001,-1.0,0.6,0.0,-0.6,0.8270427095132621,226.054890570078
1026,1,4001,-1.0,0.6,0.0,-0.4,0.8123803245542404,229.58458233638444
1027,1,4001,-1.0,0.6,0.0,-0.2,0.7140166461179789,222.11212838100812
1028,1,4001,-1.0,0.6,0.0,0.0,0.39218273808067994,162.42741501574625
1029,1,4001,-1.0,0.6,0.0,0.2,0.04980146720774731,94.57528023776722
1030,1,4001,-1.0,0.6,0.0,0.4,0.039249968082420435,77.51966358506215
1031,1,4001,-1.0,0.6,0.0,0.6,0.019997472228116698,25.043042820715456
1032,1,4001,-1.0,0.6,0.0,0.8,0.01927065989301018,24.0682805290657
1033,1,4001,-1.0,0.6,0.0,1.0,0.00696058596169719,18.508440205380232
1034,1,4001,-1.0,0.6,0.2,-1.0,0.8573463115018731,235.07430013937727
1035,1,4001,-1.0,0.6,0.2,-0.8,0.8199915702496895,232.42766672853915
1036,1,4001,-1.0,0.6,0.2,-0.6,0.8445020217185647,226.82024430969406
1037,1,4001,-1.0,0.6,0.2,-0.4,0.7516654277857371,215.14295964308567
1038,1,4001,-1.0,0.6,0.2,-0.2,0.7254790790700887,205.74276771904442
1039,1,4001,-1.0,0.6,0.2,0.0,0.00304590605111616,37.266597988944156
1040,1,1130,-1.0,0.6,0.2,0.2,0.001994245824407849,36.23222517571519
1041,1,4001,-1.0,0.6,0.2,0.4,0.14928946336648768,135.53951652025032
1042,1,4001,-1.0,0.6,0.2,0.6,0.35267220233740987,116.62807147663645
1043,1,4001,-1.0,0.6,0.2,0.8,0.18672647410290755,87.89045850972806
1044,1,4001,-1.0,0.6,0.2,1.0,0.053199823854561304,28.443826633723717
1045,1,4001,-1.0,0.6,0.4,-1.0,0.7365450495229132,232.8158673494683
1046,1,4001,-1.0,0.6,0.4,-0.8,0.8279972033517347,231.09997095001359
1047,1,4001,-1.0,0.6,0.4,-0.6,0.8171223289940026,219.45055431346162
1048,1,4001,-1.0,0.6,0.4,-0.4,0.8662064464337672,224.93224394372905
1049,1,4001,-1.0,0.6,0.4,-0.2,0.14343406259107755,153.65799147494238
1050,1,2448,-1.0,0.6,0.4,0.0,0.001999035189804902,38.754982935904245
1051,1,1586,-1.0,0.6,0.4,0.2,0.0019879529442579404,44.74911517794196
1052,1,686,-1.0,0.6,0.4,0.4,0.00199852736918768,37.73200389884494
1053,1,4001,-1.0,0.6,0.4,0.6,0.11722253701658271,147.00989933831661
1054,1,4001,-1.0,0.6,0.4,0.8,0.3454549586452997,111.1686367056553
1055,1,4001,-1.0,0.6,0.4,1.0,0.02872909129253507,135.57476150476083
1056,1,4001,-1.0,0.6,0.6,-1.0,0.4651471061221429,281.0556003123301
1057,1,4001,-1.0,0.6,0.6,-0.8,0.6760889812476039,241.38988084532193
1058,1,4001,-1.0,0.6,0.6,-0.6,0.7554450107128274,221.2159398670606
1059,1,4001,-1.0,0.6,0.6,-0.4,0.7735172675801723,174.92773746489712
1060,1,3376,-1.0,0.6,0.6,-0.2,0.001995326286538896,31.970547020706036
1061,1,1437,-1.0,0.6,0.6,0.0,0.001996373588793595,36.07179554585622
1062,1,1045,-1.0,0.6,0.6,0.2,0.0019980641323067085,38.946936591152955
1063,1,719,-1.0,0.6,0.6,0.4,0.0019759812048308983,40.10668977601505
1064,1,467,-1.0,0.6,0.6,0.6,0.0019927222011699285,39.81666847168123
1065,1,1105,-1.0,0.6,0.6,0.8,0.0019897196950872894,37.162737243533826
1066,1,4001,-1.0,0.6,0.6,1.0,0.011521095545917556,22.180869122334688
1067,1,4001,-1.0,0.6,0.8,-1.0,0.7720614301993396,241.590446055297
1068,1,4001,-1.0,0.6,0.8,-0.8,0.5795447361770661,264.19970381900293
1069,1,4001,-1.0,0.6,0.8,-0.6,0.7760336219525198,207.2250480868046
1070,1,4001,-1.0,0.6,0.8,-0.4,0.11702358663844727,130.32683031182947
