,identifier,controller_0,controller_1,controller_2,controller_3,behavior_0,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5,behavior_6
96,212,-9.183660730727885,-0.36419098594076393,8.944070211806391,-0.5316589617326115,1.6766716802401052,0.08590209913953398,0.06668766429685731,0.022436087707566162,0.5040641588392878,2736.0,0.026988712661278648
97,213,-1.6231281374978934,-0.26451418169365004,7.656693590171697,0.10591530014080552,0.7452515602362564,0.0379470141575113,0.04809062597339039,0.020201904580236327,0.2865747065805702,2827.0,0.028927098147592173
98,220,-2.648928231377883,-0.8442182838535501,-2.0580337487586053,-0.6854838588303527,0.6022193369534509,0.00944811638631503,0.21410077792262985,0.12030831685489073,0.018772871034724827,0.0,0.16259784980056813
99,221,3.345054239347305,-0.22068267724803503,-0.9753660208710602,-0.18626384367123117,0.5985972629938682,0.0812788217124679,0.28900021841478596,0.32417036709250424,0.11922442464978415,0.0,0.46370616834232675
100,222,2.242131713676896,0.569120562129042,-4.765565863298327,-0.6050900544294631,0.8407440601122619,0.1727621427342954,0.7871936474535143,0.2802091270614724,0.2247732285640046,182.0,0.44956160750593127
101,223,6.48147828438251,-0.5786270905714139,-6.57173293446154,0.3828946752078597,1.0587418578504835,-0.04445755725482717,0.3697211712105644,0.40040157400886367,-0.06387274102649314,164.0,0.4872555390607585
102,224,-3.0182831894443374,-0.3314853728931437,2.5851230895803057,0.7895776435844926,0.5229665647248539,-0.10536152704130279,0.8245819882010325,0.29199997995556354,-0.22607480631965263,279.0,0.39414281610421287
103,227,-2.735377960190666,0.2559419808251038,-9.321340438920252,0.820729090918219,0.9431667626476437,-0.017542843638130773,0.3027718401718796,0.18205526852205797,0.003907581540670865,0.0,0.23433709486779059
104,229,3.8545105010574043,0.6373777154189566,-5.195000596486468,-0.4657094254647969,0.8587951586723115,-0.03133940772699967,0.515420294761809,0.4111019195094866,-0.015532311441418208,0.0,0.5108195747851314
105,230,6.383006398951137,0.17839033926623027,9.915471343009813,-0.4776562257293433,0.49305788510959936,-0.0033228307490999185,0.09132453052245655,0.0386450113147891,-0.02403471553910877,3107.0,0.03892014063018528
